9.9.9.1,9.9.9.2,64
9.9.9.1,9.9.9.3,64
9.9.9.1,13.13.13.1,10
9.9.9.2,9.9.9.3,64
9.9.9.2,9.9.9.1,64
9.9.9.2,10.10.10.1,10
9.9.9.3,18.18.18.4,64
9.9.9.3,9.9.9.2,64
9.9.9.3,9.9.9.1,64
10.10.10.1,18.18.18.8,64
10.10.10.1,10.10.10.2,64
10.10.10.1,9.9.9.2,10
10.10.10.2,10.10.10.1,64
10.10.10.2,11.11.11.4,10
11.11.11.1,11.11.11.2,64
11.11.11.1,11.11.11.3,64
11.11.11.1,18.18.18.7,10
11.11.11.2,11.11.11.1,64
11.11.11.2,11.11.11.4,64
11.11.11.2,18.18.18.8,10
11.11.11.3,11.11.11.4,64
11.11.11.3,11.11.11.1,64
11.11.11.3,17.17.17.2,10
11.11.11.4,11.11.11.3,64
11.11.11.4,11.11.11.2,64
11.11.11.4,10.10.10.2,10
12.12.12.1,18.18.18.2,64
12.12.12.1,12.12.12.2,64
12.12.12.1,15.15.15.2,10
12.12.12.2,12.12.12.1,64
12.12.12.2,14.14.14.2,10
13.13.13.1,13.13.13.2,64
13.13.13.1,13.13.13.3,64
13.13.13.1,9.9.9.1,10
13.13.13.2,13.13.13.1,64
13.13.13.2,13.13.13.4,64
13.13.13.2,15.15.15.1,10
13.13.13.3,13.13.13.4,64
13.13.13.3,13.13.13.1,64
13.13.13.3,18.18.18.2,10
13.13.13.4,13.13.13.3,64
13.13.13.4,13.13.13.2,64
13.13.13.4,18.18.18.1,10
14.14.14.1,18.18.18.1,64
14.14.14.1,14.14.14.2,64
14.14.14.2,14.14.14.1,64
14.14.14.2,12.12.12.2,10
15.15.15.1,15.15.15.3,64
15.15.15.1,15.15.15.2,64
15.15.15.1,18.18.18.1,10
15.15.15.1,13.13.13.2,10
15.15.15.2,15.15.15.3,64
15.15.15.2,15.15.15.1,64
15.15.15.2,12.12.12.1,10
15.15.15.2,16.16.16.1,10
15.15.15.3,15.15.15.1,64
15.15.15.3,15.15.15.2,64
16.16.16.1,16.16.16.2,64
16.16.16.1,18.18.18.1,64
16.16.16.1,16.16.16.3,64
16.16.16.1,15.15.15.2,10
16.16.16.2,16.16.16.1,64
16.16.16.2,16.16.16.3,64
16.16.16.2,18.18.18.7,10
16.16.16.2,17.17.17.1,10
16.16.16.3,16.16.16.1,64
16.16.16.3,16.16.16.2,64
17.17.17.1,17.17.17.3,64
17.17.17.1,17.17.17.2,64
17.17.17.1,18.18.18.7,64
17.17.17.1,16.16.16.2,10
17.17.17.2,17.17.17.3,64
17.17.17.2,17.17.17.1,64
17.17.17.2,11.11.11.3,10
17.17.17.3,17.17.17.2,64
17.17.17.3,17.17.17.1,64
18.18.18.1,18.18.18.4,64
18.18.18.1,14.14.14.1,64
18.18.18.1,16.16.16.1,64
18.18.18.1,15.15.15.1,10
18.18.18.1,18.18.18.2,64
18.18.18.1,13.13.13.4,10
18.18.18.2,12.12.12.1,64
18.18.18.2,18.18.18.4,64
18.18.18.2,18.18.18.3,64
18.18.18.2,18.18.18.1,64
18.18.18.2,13.13.13.3,10
18.18.18.3,18.18.18.5,64
18.18.18.3,18.18.18.2,64
18.18.18.4,18.18.18.6,64
18.18.18.4,9.9.9.3,64
18.18.18.4,18.18.18.5,64
18.18.18.4,18.18.18.1,64
18.18.18.4,18.18.18.2,64
18.18.18.5,18.18.18.3,64
18.18.18.5,18.18.18.4,64
18.18.18.5,18.18.18.6,64
18.18.18.6,18.18.18.4,64
18.18.18.6,18.18.18.7,64
18.18.18.6,18.18.18.8,64
18.18.18.6,18.18.18.5,64
18.18.18.7,18.18.18.6,64
18.18.18.7,17.17.17.1,64
18.18.18.7,16.16.16.2,10
18.18.18.7,11.11.11.1,10
18.18.18.8,10.10.10.1,64
18.18.18.8,18.18.18.6,64
18.18.18.8,11.11.11.2,10
